name,size,mounting_type,sensing_distance,output_type,operation_mode,connection_method,material_housing,io_link_baud_rate,overall_length,thread_length,degree_of_protection
E2E-X40MD2L30-T 2M,M30,Non-flush,40 mm,2-wire,NC,Cable,"Brass, nickel plated",,82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X40MD2L30-T 5M,M30,Non-flush,40 mm,2-wire,NC,Cable,"Brass, nickel plated",,82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X40MD2L30-TR 2M,M30,Non-flush,40 mm,2-wire,NC,Cable,"Brass, nickel plated",,82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X40MD2L30-TR 5M,M30,Non-flush,40 mm,2-wire,NC,Cable,"Brass, nickel plated",,82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X4B1T12 10M,M12,Quasi-flush,4 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,29 mm,IP67/IP67G/IP69K
E2E-X4B1T12 15M,M12,Quasi-flush,4 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,29 mm,IP67/IP67G/IP69K
E2E-X4B1T12 2M,M12,Quasi-flush,4 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,29 mm,IP67/IP67G/IP69K
E2E-X4B1T12 5M,M12,Quasi-flush,4 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,29 mm,IP67/IP67G/IP69K
E2E-X4B1T12-M1,M12,Quasi-flush,4 mm,"IO-Link, PNP",NO,Connector M12,"Brass, nickel plated",COM3 (230.4 kbps),48 mm,29 mm,IP67/IP69K
E2E-X4B1T12-M1TJ 0.3M,M12,Quasi-flush,4 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,29 mm,IP67/IP67G/IP69K
E2E-X4B1T12-R 2M,M12,Quasi-flush,4 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,29 mm,IP67/IP67G/IP69K
E2E-X4B1T8 2M,M8,Quasi-flush,4 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),37.8 mm,21 mm,IP67/IP67G/IP69K
E2E-X4B1T8-M1,M8,Quasi-flush,4 mm,"IO-Link, PNP",NO,Connector M12,"Brass, nickel plated",COM3 (230.4 kbps),43 mm,21 mm,IP67/IP69K
E2E-X4B1T8-M1TJ 0.3M,M8,Quasi-flush,4 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,"Brass, nickel plated",COM3 (230.4 kbps),37.8 mm,21 mm,IP67/IP67G/IP69K
E2E-X4B1T8-M3,M8,Quasi-flush,4 mm,"IO-Link, PNP",NO,Connector M8 - 4 pin,"Brass, nickel plated",COM3 (230.4 kbps),39 mm,21 mm,IP67/IP69K
E2E-X4B1T8-M5,M8,Quasi-flush,4 mm,"IO-Link, PNP",NO,Connector M8 - 3 pin,"Brass, nickel plated",COM3 (230.4 kbps),39 mm,21 mm,IP67/IP69K
E2E-X4B1T8-R 2M,M8,Quasi-flush,4 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),37.8 mm,21 mm,IP67/IP67G/IP69K
E2E-X4B1TL12 2M,M12,Quasi-flush,4 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),69.1 mm,55 mm,IP67/IP67G/IP69K
E2E-X4B1TL12 5M,M12,Quasi-flush,4 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),69.1 mm,55 mm,IP67/IP67G/IP69K
E2E-X4B1TL12-M1,M12,Quasi-flush,4 mm,"IO-Link, PNP",NO,Connector M12,"Brass, nickel plated",COM3 (230.4 kbps),70 mm,54 mm,IP67/IP69K
E2E-X4B1TL12-M1TJ 0.3M,M12,Quasi-flush,4 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,"Brass, nickel plated",COM3 (230.4 kbps),69.1 mm,55 mm,IP67/IP67G/IP69K
E2E-X4B1TL8 2M,M8,Quasi-flush,4 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),47.8 mm,35 mm,IP67/IP67G/IP69K
E2E-X4B1TL8-M1,M8,Quasi-flush,4 mm,"IO-Link, PNP",NO,Connector M12,"Brass, nickel plated",COM3 (230.4 kbps),53 mm,35 mm,IP67/IP69K
E2E-X4B1TL8-M1TJ 0.3M,M8,Quasi-flush,4 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,"Brass, nickel plated",COM3 (230.4 kbps),47.8 mm,35 mm,IP67/IP67G/IP69K
E2E-X4B1TL8-M3,M8,Quasi-flush,4 mm,"IO-Link, PNP",NO,Connector M8 - 4 pin,"Brass, nickel plated",COM3 (230.4 kbps),49 mm,35 mm,IP67/IP69K
E2E-X4B1TL8-M5,M8,Quasi-flush,4 mm,"IO-Link, PNP",NO,Connector M8 - 3 pin,"Brass, nickel plated",COM3 (230.4 kbps),49 mm,35 mm,IP67/IP69K
E2E-X4B212 10M,M12,Quasi-flush,4 mm,PNP,NC,Cable,"Brass, nickel plated",,47.1 mm,29 mm,IP67/IP67G/IP69K
E2E-X4B212 2M,M12,Quasi-flush,4 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,29 mm,IP67/IP67G/IP69K
E2E-X4B212 5M,M12,Quasi-flush,4 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,29 mm,IP67/IP67G/IP69K
E2E-X4B212-M1,M12,Quasi-flush,4 mm,PNP,NC,Connector M12,"Brass, nickel plated",Not Applicable,48 mm,29 mm,IP67/IP69K
E2E-X4B28 2M,M8,Quasi-flush,4 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,37.8 mm,21 mm,IP67/IP67G/IP69K
E2E-X4B28-M1,M8,Quasi-flush,4 mm,PNP,NC,Connector M12,"Brass, nickel plated",Not Applicable,43 mm,21 mm,IP67/IP69K
E2E-X4B28-M3,M8,Quasi-flush,4 mm,PNP,NC,Connector M8 - 4 pin,"Brass, nickel plated",Not Applicable,39 mm,21 mm,IP67/IP69K
E2E-X4B28-M5,M8,Quasi-flush,4 mm,PNP,NC,Connector M8 - 3 pin,"Brass, nickel plated",Not Applicable,39 mm,21 mm,IP67/IP69K
E2E-X4B2L12 2M,M12,Quasi-flush,4 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,69.1 mm,55 mm,IP67/IP67G/IP69K
E2E-X4B2L12 5M,M12,Quasi-flush,4 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,69.1 mm,55 mm,IP67/IP67G/IP69K
E2E-X4B2L12-M1,M12,Quasi-flush,4 mm,PNP,NC,Connector M12,"Brass, nickel plated",Not Applicable,70 mm,54 mm,IP67/IP69K
E2E-X4B2L12-M1TJ 0.3M,M12,Quasi-flush,4 mm,PNP,NC,M12 pigtail Smartclick connector,"Brass, nickel plated",Not Applicable,69.1 mm,55 mm,IP67/IP67G/IP69K
E2E-X4B2L8 2M,M8,Quasi-flush,4 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,47.8 mm,35 mm,IP67/IP67G/IP69K
E2E-X4B2L8-M1,M8,Quasi-flush,4 mm,PNP,NC,Connector M12,"Brass, nickel plated",Not Applicable,53 mm,35 mm,IP67/IP69K
E2E-X4B2L8-M3,M8,Quasi-flush,4 mm,PNP,NC,Connector M8 - 4 pin,"Brass, nickel plated",Not Applicable,49 mm,35 mm,IP67/IP69K
E2E-X4B2L8-M5,M8,Quasi-flush,4 mm,PNP,NC,Connector M8 - 3 pin,"Brass, nickel plated",Not Applicable,49 mm,35 mm,IP67/IP69K
E2E-X4B3D12 2M,M12,Quasi-flush,4 mm,"IO-Link, PNP",NO + NC,Cable,"Brass, nickel plated",COM2 (38.4 kbps),47.1 mm,29 mm,IP67/IP67G/IP69K
E2E-X4B3D12 5M,M12,Quasi-flush,4 mm,"IO-Link, PNP",NO + NC,Cable,"Brass, nickel plated",COM2 (38.4 kbps),47.1 mm,29 mm,IP67/IP67G/IP69K
E2E-X4B3D12-M1,M12,Quasi-flush,4 mm,"IO-Link, PNP",NO + NC,Connector M12,"Brass, nickel plated",COM2 (38.4 kbps),48 mm,29 mm,IP67/IP69K
E2E-X4B3D12-M1TJ 0.3M,M12,Quasi-flush,4 mm,"IO-Link, PNP",NO + NC,M12 pigtail Smartclick connector,"Brass, nickel plated",COM2 (38.4 kbps),47.1 mm,29 mm,IP67/IP67G/IP69K
E2E-X4B3DL12 2M,M12,Quasi-flush,4 mm,"IO-Link, PNP",NO + NC,Cable,"Brass, nickel plated",COM2 (38.4 kbps),69.1 mm,55 mm,IP67/IP67G/IP69K
E2E-X4B3DL12 5M,M12,Quasi-flush,4 mm,"IO-Link, PNP",NO + NC,Cable,"Brass, nickel plated",COM2 (38.4 kbps),69.1 mm,55 mm,IP67/IP67G/IP69K
E2E-X4B3DL12-M1,M12,Quasi-flush,4 mm,"IO-Link, PNP",NO + NC,Connector M12,"Brass, nickel plated",COM2 (38.4 kbps),70 mm,54 mm,IP67/IP69K
E2E-X4C112 10M,M12,Quasi-flush,4 mm,NPN,NO,Cable,"Brass, nickel plated",,47.1 mm,29 mm,IP67/IP67G/IP69K
E2E-X4C112 2M,M12,Quasi-flush,4 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,29 mm,IP67/IP67G/IP69K
E2E-X4C112 5M,M12,Quasi-flush,4 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,29 mm,IP67/IP67G/IP69K
E2E-X4C112-M1,M12,Quasi-flush,4 mm,NPN,NO,Connector M12,"Brass, nickel plated",Not Applicable,48 mm,29 mm,IP67/IP69K
E2E-X4C112-M1TJ 0.3M,M12,Quasi-flush,4 mm,NPN,NO,M12 pigtail Smartclick connector,"Brass, nickel plated",Not Applicable,47.1 mm,29 mm,IP67/IP67G/IP69K
E2E-X4C18 2M,M8,Quasi-flush,4 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,37.8 mm,21 mm,IP67/IP67G/IP69K
E2E-X4C18-M1,M8,Quasi-flush,4 mm,NPN,NO,Connector M12,"Brass, nickel plated",Not Applicable,43 mm,21 mm,IP67/IP69K
E2E-X4C18-M1TJ 0.3M,M8,Quasi-flush,4 mm,NPN,NO,M12 pigtail Smartclick connector,"Brass, nickel plated",Not Applicable,37.8 mm,21 mm,IP67/IP67G/IP69K
E2E-X4C18-M3,M8,Quasi-flush,4 mm,NPN,NO,Connector M8 - 4 pin,"Brass, nickel plated",Not Applicable,39 mm,21 mm,IP67/IP69K
E2E-X4C18-M5,M8,Quasi-flush,4 mm,NPN,NO,Connector M8 - 3 pin,"Brass, nickel plated",Not Applicable,39 mm,21 mm,IP67/IP69K
E2E-X4C1L12 2M,M12,Quasi-flush,4 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,69.1 mm,55 mm,IP67/IP67G/IP69K
E2E-X4C1L12 5M,M12,Quasi-flush,4 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,69.1 mm,55 mm,IP67/IP67G/IP69K
E2E-X4C1L12-M1,M12,Quasi-flush,4 mm,NPN,NO,Connector M12,"Brass, nickel plated",Not Applicable,70 mm,54 mm,IP67/IP69K
E2E-X4C1L8 2M,M8,Quasi-flush,4 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,47.8 mm,35 mm,IP67/IP67G/IP69K
E2E-X4C1L8-M1,M8,Quasi-flush,4 mm,NPN,NO,Connector M12,"Brass, nickel plated",Not Applicable,53 mm,35 mm,IP67/IP69K
E2E-X4C1L8-M5,M8,Quasi-flush,4 mm,NPN,NO,Connector M8 - 3 pin,"Brass, nickel plated",Not Applicable,49 mm,35 mm,IP67/IP69K
E2E-X4C212 2M,M12,Quasi-flush,4 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,29 mm,IP67/IP67G/IP69K
E2E-X4C212 5M,M12,Quasi-flush,4 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,29 mm,IP67/IP67G/IP69K
E2E-X4C212-M1,M12,Quasi-flush,4 mm,NPN,NC,Connector M12,"Brass, nickel plated",Not Applicable,48 mm,29 mm,IP67/IP69K
E2E-X4C212-M1TJ 0.3M,M12,Flush,4 mm,NPN,NC,M12 pigtail Smartclick connector,"Brass, nickel plated",Not Applicable,47.1 mm,29 mm,IP67/IP67G/IP69K
E2E-X4C28 2M,M8,Flush,4 mm,NPN,NC,Cable,Stainless steel,Not Applicable,37.8 mm,21 mm,IP67/IP67G/IP69K
E2E-X4C28-M1,M8,Quasi-flush,4 mm,NPN,NC,Connector M12,"Brass, nickel plated",Not Applicable,43 mm,21 mm,IP67/IP69K
